Date,PM2.5,PM10,SO2,NOx,CO,NH3
01-01-2020,None,None,None,None,None,None
02-01-2020,43.67,134,3.41,16.21,0.91,10.98
03-01-2020,30.58,74.42,3.27,10.04,0.96,12.1
04-01-2020,66.35,155.68,3.25,94.71,2.54,11.75
05-01-2020,48,99.13,2.95,11.4,1.14,9.79
06-01-2020,23.75,63.34,2.81,12.32,1.08,7.4
07-01-2020,24.67,72,2.97,12.44,0.98,7.66
08-01-2020,34.18,79.06,2.99,11.11,0.99,9.35
09-01-2020,41.61,98,2.98,15.15,1.11,11.21
10-01-2020,38.95,97.7,3.34,13,0.97,12.8
11-01-2020,34.05,77.56,3.07,14.06,1.01,12.08
12-01-2020,39.12,75.93,2.96,13.05,0.96,16.07
13-01-2020,None,None,None,None,None,None
14-01-2020,None,None,None,None,None,None
15-01-2020,None,None,None,None,None,None
16-01-2020,38,93,3.95,27.15,0.68,11.95
17-01-2020,42.96,112.6,3.2,45.74,1.38,14.73
18-01-2020,26.8,59,3.18,11.78,1.02,11.34
19-01-2020,22.19,56.56,3.19,8.23,0.97,8.4
20-01-2020,34.24,100.22,3.23,18.51,1.1,9.03
21-01-2020,37.5,102.51,3.25,24.24,1.16,9.73
22-01-2020,34.48,86.75,3.22,17.47,1.11,9.86
23-01-2020,46.65,98.18,3.19,14.3,1.09,9.95
24-01-2020,38.05,96.7,2.87,30.04,1.16,8.42
25-01-2020,48.78,112.69,2.86,40.8,1.26,9.77
26-01-2020,51.86,111.57,2.81,43.39,1.29,12.05
27-01-2020,74.23,169.38,2.88,120.65,1.97,15.29
28-01-2020,61.95,162.59,2.89,49.65,1.62,12.5
29-01-2020,59.67,140.87,2.78,30.45,1.39,12.73
30-01-2020,72.46,191.19,2.83,101.68,1.93,13.42
31-01-2020,53.61,133.86,2.91,21.23,1.31,12.63
01-02-2020,57.62,112.99,3.17,9.72,0.99,12.28
02-02-2020,41.16,82,2.82,6.94,0.9,9.53
03-02-2020,36.32,89.84,2.73,18.86,1.06,8.44
04-02-2020,34.42,90.27,2.58,13.4,1.06,8.8
05-02-2020,34.2,82.97,2.66,12.79,1.04,8.91
06-02-2020,45.36,101.46,2.62,21.75,1.28,9.39
07-02-2020,60.29,132.17,2.87,26.5,1.29,10.61
08-02-2020,56.24,133.18,2.66,29.94,1.38,10.11
09-02-2020,42.09,85.5,2.91,9.82,0.96,9.15
10-02-2020,36.13,84.37,2.66,10.71,1.02,8.11
11-02-2020,38,95.19,2.66,17.28,1.09,7.61
12-02-2020,37.86,85.53,2.67,14.92,1.02,7.51
13-02-2020,39.13,100.44,2.75,37.56,1.28,7.81
14-02-2020,52.4,125.07,2.7,53.08,1.87,10.45
15-02-2020,56.35,130.38,2.78,60.38,1.62,10.87
16-02-2020,41.71,91.29,2.83,28.56,1.12,9.35
17-02-2020,44.28,101.74,2.76,43.1,1.43,10.65
18-02-2020,43.68,95.16,2.73,24.99,1.15,10.76
19-02-2020,45.45,99.09,2.61,20.63,1.03,10.61
20-02-2020,48.49,101.79,2.75,21.6,1.02,11.29
21-02-2020,30.5,67.75,2.54,13.28,0.94,10.48
22-02-2020,33.7,79.15,2.55,11.98,0.96,11.04
23-02-2020,37.16,86.35,2.6,8.02,1,10.23
24-02-2020,38.52,94,2.55,9.41,1.08,9
25-02-2020,42.18,108.38,2.62,17.73,1.1,9.96
26-02-2020,35.6,94.6,2.56,11.99,1.09,9.46
27-02-2020,38.76,102.95,2.58,22.42,1.24,9.43
28-02-2020,39.33,94.53,2.56,18.4,1.2,9.72
29-02-2020,37.66,96.49,2.58,17.49,1.16,9.38
01-03-2020,43.51,96.91,2.69,9.99,1.08,9.34
02-03-2020,63.49,137.43,2.67,28.76,1.48,10.04
03-03-2020,76.92,178.58,2.69,49.16,1.88,11.46
04-03-2020,64.23,150.84,2.74,64.89,1.97,11.33
05-03-2020,52.51,130.1,2.77,24.71,1.42,11.65
06-03-2020,26.76,98.67,2.54,27.17,1.35,10.08
07-03-2020,37.77,105.82,2.65,19.34,1.26,13.25
08-03-2020,26.61,79.84,2.58,8.94,1.1,13.01
09-03-2020,29.23,91.33,2.55,20.14,1.17,11.76
10-03-2020,30.92,91.06,2.69,12.22,1.11,11.01
11-03-2020,30.5,98.56,2.72,18.42,1.22,9.72
12-03-2020,30.24,92.55,2.63,25.26,1.21,9.04
13-03-2020,28.75,90.92,2.67,21,1.1,9.52
14-03-2020,27.26,79.28,2.56,13.19,1.03,8.82
15-03-2020,25.74,76.92,2.63,10.73,1,10.36
16-03-2020,20.83,68.97,2.62,6.88,0.91,8.43
17-03-2020,22.98,70.57,2.58,6.91,0.92,7.7
18-03-2020,30.67,63.14,2.6,7.86,0.96,8.47
19-03-2020,40.36,91,2.76,22.17,1.21,9.96
20-03-2020,37.92,80.32,2.62,18.32,1.21,11.24
21-03-2020,39.7,88.94,2.44,36.41,1.47,9
22-03-2020,23.03,48.83,2.57,6.3,0.91,11.25
23-03-2020,43.45,76.1,2.67,17.68,1.28,13.62
24-03-2020,42.63,72.37,2.76,8.66,0.94,11.87
25-03-2020,16.76,41.84,2.56,3.11,0.82,9.26
26-03-2020,19.87,48.93,2.62,2.64,0.88,8.79
27-03-2020,17.29,41.42,2.59,2.76,0.85,8.28
28-03-2020,17.14,43.27,2.68,3.85,0.83,7.55
29-03-2020,20.69,41.91,2.72,6.32,0.89,8.03
30-03-2020,13.92,36.92,2.76,3.47,0.82,7.93
31-03-2020,20.17,44.94,2.73,4.41,0.86,8.57
01-04-2020,21.38,50.72,2.75,3.64,0.87,8.15
02-04-2020,28.42,55.3,2.1,3.25,0.59,8.99
03-04-2020,31.85,58.45,1.33,3.35,0.31,8.71
04-04-2020,28.5,58.17,1.31,3.11,0.31,8.26
05-04-2020,28.25,54.16,1.29,3.11,0.31,7.95
06-04-2020,18.99,43.53,1.16,4.61,0.35,6.75
07-04-2020,9.07,23.4,1.04,7.21,0.36,22.9
08-04-2020,16.68,33.77,1.23,6.4,0.46,13.86
09-04-2020,17.11,39.69,1.39,5.34,0.59,14.19
10-04-2020,12.52,27.39,1.38,4.37,0.5,12.93
11-04-2020,23.08,42.22,1.29,3.38,0.49,14.32
12-04-2020,19.62,44.51,1.32,4.58,0.52,12
13-04-2020,27.65,58.1,1.43,10.42,0.63,13.26
14-04-2020,32.11,63.15,1.68,10.56,0.57,14.29
15-04-2020,32.29,57.03,1.74,6.85,0.55,14.23
16-04-2020,25.07,51.38,1.54,5.82,0.54,11.81
17-04-2020,27.27,63.39,1.43,4.71,0.59,11.72
18-04-2020,24.33,54.32,1.4,4.19,0.56,10.34
19-04-2020,21.55,49.21,1.36,3.45,0.52,9.15
20-04-2020,18.01,41.17,1.57,3.36,0.48,8.45
21-04-2020,15.28,34.1,1.45,4.55,0.55,6.38
22-04-2020,16.16,39.77,1.43,2.96,0.53,5.6
23-04-2020,16.11,38.22,1.39,3.26,0.62,4.78
24-04-2020,31.75,87.15,1.38,6.54,0.73,4.79
25-04-2020,22.75,56.45,1.36,3.65,0.54,5.14
26-04-2020,15.64,39.47,1.38,2.35,0.47,4.47
27-04-2020,19.34,53.11,1.35,2.84,0.57,3.9
28-04-2020,17.83,49.41,1.39,2.25,0.46,3.97
29-04-2020,13.86,36.93,1.31,4.64,0.58,3.78
30-04-2020,24.14,65.38,1.35,7.24,0.69,3.82
01-05-2020,23.11,56.85,1.33,2.88,0.51,4.35
02-05-2020,19.03,45.74,1.3,3.04,0.54,4.1
03-05-2020,24.54,54.45,1.41,2.8,0.55,4.05
04-05-2020,27.24,73.74,1.44,3.6,0.62,4.02
05-05-2020,30.62,83.16,1.45,3.69,0.61,4.01
06-05-2020,20.98,61.01,1.42,3.28,0.61,3.81
07-05-2020,26.54,68.04,1.42,3.61,0.65,3.75
08-05-2020,19.07,49.82,1.36,4.25,0.62,3.44
09-05-2020,21.59,54.33,1.44,2.83,0.49,3.61
10-05-2020,18.77,49.1,1.48,1.97,0.42,3.42
11-05-2020,15.89,47.97,1.5,2.1,0.42,3.95
12-05-2020,9.99,35.98,1.69,1.71,0.44,3.04
13-05-2020,13.98,42.72,1.92,3.44,0.56,4.59
14-05-2020,23.38,52.76,1.88,4.66,0.56,7.44
15-05-2020,14.67,45.43,2.33,7.49,0.53,5.1
16-05-2020,25.26,68.27,2.08,7.61,0.94,3.87
17-05-2020,19.71,50.94,2.01,4.12,0.76,3.94
18-05-2020,16.44,53.48,1.72,6.17,0.79,4.14
19-05-2020,17.74,85,1.87,7.1,0.72,3.81
20-05-2020,17.58,83.25,1.97,7.48,0.63,3.71
21-05-2020,22.18,81.35,2.14,7.12,0.66,3.55
22-05-2020,17.35,60.91,2.25,6.45,0.64,3.62
23-05-2020,21.48,73.49,1.85,6.49,0.7,3.5
24-05-2020,17.89,50.3,1.25,4.26,0.44,3.63
25-05-2020,23.42,66.36,1.5,8.77,0.78,4.32
26-05-2020,18.46,51.02,1.52,7.55,0.53,4.53
27-05-2020,18.61,48.73,2.39,10.14,0.87,5.8
28-05-2020,17.22,57.13,1.91,9.79,0.72,6.03
29-05-2020,18.29,52.54,2.06,9,0.7,5.89
30-05-2020,15.78,45.74,2.22,9.43,0.65,5.64
31-05-2020,21.26,52.48,2.6,3.99,0.47,5.8
01-06-2020,8.46,32.23,4.8,5.8,0.47,5.03
02-06-2020,6.7,34.03,4.56,6.91,0.43,4.82
03-06-2020,5.89,34.56,4.51,7.25,0.4,4.61
04-06-2020,8.81,46,4.49,9.4,0.58,4.63
05-06-2020,10.89,52.12,4.45,8.45,0.56,4.52
06-06-2020,12.03,52.02,4.43,8.73,0.57,4.71
07-06-2020,13.39,49.89,4.38,8.62,0.53,4.69
08-06-2020,16.08,66.2,4.51,12.53,0.83,4.7
09-06-2020,16.43,71.78,4.42,12.99,0.67,5.41
10-06-2020,12.78,55.82,4.66,11.47,0.7,5.16
11-06-2020,10.39,43.84,4.44,12.16,0.72,5.2
12-06-2020,14.76,58.89,4.09,11.41,0.77,4.6
13-06-2020,10.11,52.24,4.02,9.06,0.56,8.98
14-06-2020,8.15,47.84,4.1,6.55,0.47,11.62
15-06-2020,11.52,51.56,4.2,8.42,0.58,11.63
16-06-2020,12.15,49.06,4.13,6.76,0.5,12
17-06-2020,13,93.53,3.38,9.78,0.59,6.11
18-06-2020,12.99,58.71,2.26,14,0.64,7.51
19-06-2020,14.52,65.06,4.46,14.79,0.67,7.54
20-06-2020,15.16,62.03,4,16.13,0.74,7.47
21-06-2020,10.04,39.96,None,11.14,0.46,7.55
22-06-2020,11.17,53.6,None,16.5,0.82,7.48
23-06-2020,15.18,62.73,None,14.74,0.65,7.55
24-06-2020,15,45.78,5.18,15.79,0.54,8.56
25-06-2020,12.69,37.04,4.3,15.33,0.8,7.7
26-06-2020,10.09,16.57,None,14.82,0.9,7.51
27-06-2020,None,None,None,None,None,None
28-06-2020,None,None,None,None,None,None
29-06-2020,8.36,61.47,None,12.08,0.62,9.55
30-06-2020,13.67,74.33,None,16.47,0.9,10.57
01-07-2020,14.42,60.65,None,13.22,0.4,9.5
02-07-2020,7.93,37.74,None,15.54,0.49,8.64
03-07-2020,7.5,37.75,None,14.86,0.42,7.79
04-07-2020,8.18,46.79,None,13.57,0.44,7.43
05-07-2020,8.56,28.48,None,7.24,0.26,7.28
06-07-2020,15.09,46,None,12.51,0.49,7.68
07-07-2020,11.59,40.14,None,11.97,0.59,8.24
08-07-2020,12.53,37.89,None,13.25,1.22,8.34
09-07-2020,14.03,44.18,None,14.45,0.89,8.14
10-07-2020,16.81,44.56,None,14.13,0.71,8.36
11-07-2020,17.38,50,None,13.87,0.55,8.05
12-07-2020,9.07,19.59,None,7.89,0.33,7.77
13-07-2020,19.2,51.23,None,15.26,0.83,7.71
14-07-2020,17.45,57.08,None,19.3,0.84,7.75
15-07-2020,12.7,23.65,None,8.91,0.53,7.88
16-07-2020,9.35,23.04,None,8.97,0.49,7.83
17-07-2020,9.95,31.8,None,8.6,0.5,7.52
18-07-2020,10.56,39.41,None,8.98,0.5,7.56
19-07-2020,11.59,32.14,None,8.08,0.49,7.51
20-07-2020,12.08,29.65,None,8.27,1.01,7.68
21-07-2020,9.18,31.08,None,8.86,0.36,7.64
22-07-2020,24.02,56.3,None,8.05,0.36,8.18
23-07-2020,18.58,54.61,None,9.68,0.49,8.04
24-07-2020,14.46,48.46,None,11.66,0.49,8.08
25-07-2020,11.83,52.82,None,13.85,0.63,7.91
26-07-2020,12.5,66.82,None,8.19,0.46,8.11
27-07-2020,17.67,58.19,None,14.12,0.37,8.42
28-07-2020,18.03,54.35,None,15.12,0.51,8.74
29-07-2020,14.97,42.35,None,15.28,0.59,8.76
30-07-2020,12.85,49.31,None,14.58,0.47,8.04
31-07-2020,17.19,45.88,None,11.74,0.5,7.27
01-08-2020,16.38,39.76,None,12.75,0.62,7.69
02-08-2020,13.2,32.35,None,9.59,0.52,7.44
03-08-2020,15.69,43.45,None,13.58,0.5,7.34
04-08-2020,18.03,44.74,None,14.72,0.37,7.32
05-08-2020,17.75,50.3,None,13.35,0.41,7.74
06-08-2020,18.29,65.97,None,13.19,0.46,7.83
07-08-2020,19.28,83.77,None,14.68,0.46,7.38
08-08-2020,19.9,73.91,None,14.67,0.38,7.07
09-08-2020,17.5,44.88,None,11.01,0.4,7.13
10-08-2020,20.64,70.7,None,14.92,0.55,7.52
11-08-2020,21.99,78.95,None,14.87,0.81,7.72
12-08-2020,22.22,72.58,None,14.56,0.34,7.3
13-08-2020,24.79,85.48,None,15.41,0.36,7.01
14-08-2020,26.47,71.45,None,15.47,0.45,7.07
15-08-2020,24.12,60.61,None,12.44,0.49,7
16-08-2020,23.14,59.19,None,11.6,0.35,7.06
17-08-2020,22.27,44.96,None,14.44,0.66,7.04
18-08-2020,23.74,61.92,None,15.93,0.69,7.18
19-08-2020,22.46,68.58,None,16.21,0.56,7.43
20-08-2020,23.74,67.32,None,16.98,0.58,7.07
21-08-2020,22.12,57.15,None,14.48,0.55,6.92
22-08-2020,21.43,50.8,None,12.33,0.51,6.85
23-08-2020,17.39,44,None,12.18,0.55,6.91
24-08-2020,26.24,60.15,None,15.68,0.61,7.12
25-08-2020,29.85,79.38,None,23.27,0.73,7.2
26-08-2020,29.06,80.49,None,21.4,0.77,7.52
27-08-2020,32.17,89.08,None,24.92,0.78,7.35
28-08-2020,30.51,88.23,None,21.81,0.73,7.4
29-08-2020,26.19,67.35,None,14.68,0.57,7.36
30-08-2020,21.36,54.96,None,12.65,0.54,7.28
31-08-2020,22.25,59.02,None,17.21,0.69,7.21
01-09-2020,24.73,58.98,None,19.96,0.66,7.4
02-09-2020,25.23,51.02,None,14.19,0.56,7.58
03-09-2020,21.36,37.49,None,11.54,0.4,7.4
04-09-2020,21.08,38.76,None,7.31,0.34,7.09
05-09-2020,37.73,62.48,None,9.07,0.46,7.41
06-09-2020,32.38,52.65,None,7.36,0.41,7.13
07-09-2020,15.19,41.97,None,12.18,0.48,6.52
08-09-2020,17.18,39.66,None,13.77,0.54,6.82
09-09-2020,19.2,42.5,None,12.97,0.51,6.92
10-09-2020,16.06,43.44,None,13.15,0.49,6.97
11-09-2020,18.1,49.59,None,13.48,0.49,7.01
12-09-2020,17.02,37.15,3.5,15.76,0.52,7.31
13-09-2020,16.28,37.98,2.03,18,0.62,7.85
14-09-2020,21.1,60.52,1.44,19.75,0.61,7.56
15-09-2020,23.48,75.83,2.09,18.2,0.67,7.43
16-09-2020,20.64,63.34,2.4,15.87,0.6,7.44
17-09-2020,22.56,65.03,3.14,15.47,0.58,7.42
18-09-2020,14.85,57.93,2.56,17.46,0.65,7.46
19-09-2020,19.96,50.15,2.21,15.03,0.44,7.71
20-09-2020,12.37,23.57,2.19,12.96,0.41,7.66
21-09-2020,17.92,45.41,1.77,14.36,0.5,7.68
22-09-2020,20.64,49.58,1.51,13.86,0.47,7.63
23-09-2020,25.94,83.6,2.42,17.87,0.64,7.49
24-09-2020,26,71.82,1.87,16.64,0.58,7.55
25-09-2020,24.09,60.46,2.27,14.22,0.54,7.38
26-09-2020,26.24,66.9,2.27,22.66,0.68,7.76
27-09-2020,25.16,70.11,2.82,23.08,0.77,7.81
28-09-2020,32.87,67.58,2.4,20.49,0.77,7.94
29-09-2020,29.96,65,2.58,21.05,0.68,8.15
30-09-2020,28.25,67.32,3.15,24.8,0.75,7.8
01-10-2020,31.88,91.64,4.94,30.29,0.94,7.54
02-10-2020,33.69,81.63,4.39,19.12,0.73,7.72
03-10-2020,16.59,51.67,4.55,16.53,0.56,7.58
04-10-2020,9.18,42.2,3.4,16.7,0.59,7.55
05-10-2020,18.04,65.37,3.4,20.12,0.73,7.62
06-10-2020,31.77,96.19,3.6,26.34,0.97,7.89
07-10-2020,32.79,99.6,2.2,23.34,0.86,8.26
08-10-2020,40.27,103.25,3.96,18.18,0.72,8.44
09-10-2020,41.7,85.67,3.52,15,0.69,8.58
10-10-2020,13.16,42.22,2.87,15.78,0.59,8.17
11-10-2020,14.98,36.36,4.34,16.54,0.68,7.99
12-10-2020,21,53.78,4.31,14.6,0.61,7.95
13-10-2020,19.47,58.16,3.24,18.19,0.76,8.38
14-10-2020,15.48,70.67,3.18,13.88,0.56,7.8
15-10-2020,14.83,74.52,3.2,14.1,0.79,7.28
16-10-2020,35.65,125.38,3.13,16.12,1.19,7.4
17-10-2020,40.1,137.05,4.68,20.66,1.36,7.84
18-10-2020,32.88,99.44,6.84,16.87,0.61,7.69
19-10-2020,35.95,103.63,6.28,18.68,1.21,7.91
20-10-2020,26.3,86.23,5.5,17.26,0.68,10.17
21-10-2020,14.25,38.61,6.14,22.18,0.98,11.37
22-10-2020,18.03,44.65,6.15,21.53,0.99,9.65
23-10-2020,14.05,39.14,6.26,20,0.88,9.17
24-10-2020,26.71,80.44,6.42,26.43,1.39,8.71
25-10-2020,26.96,76.23,5.59,21.84,1,8.53
26-10-2020,43.51,93.36,5.04,25.79,1.31,9.45
27-10-2020,54.29,107.32,6.14,25.17,1.04,10.51
28-10-2020,51.16,105.03,6.4,26.15,1.02,10.31
29-10-2020,44.95,97.55,6.26,25.34,0.87,10.64
30-10-2020,46.19,102.62,6.21,27.46,1.05,10.53
31-10-2020,65.86,142.82,10.35,30.52,1.1,12.96
01-11-2020,58.71,105.57,5.83,21.69,0.87,12.33
02-11-2020,67.81,135.3,7.08,22.75,1.02,13
03-11-2020,50.01,91.12,6.22,18.53,0.76,11.23
04-11-2020,41.06,76.38,5.61,18.34,0.77,10.59
05-11-2020,24.38,54.34,6.28,16.13,0.72,9.03
06-11-2020,11.39,24.68,5.99,13.29,0.44,8.2
07-11-2020,12.39,31.66,6.63,16.07,0.68,9.42
08-11-2020,30.17,58.65,2.94,17.74,0.51,15.59
09-11-2020,56.59,96.25,3.52,26.49,0.89,17.92
10-11-2020,46.93,96.33,5.3,27.74,1.32,15.22
11-11-2020,35.29,74.23,3.93,26.45,1,16.39
12-11-2020,15.58,50.07,3.54,20.26,0.66,16.54
13-11-2020,6.76,21.67,3.6,13.74,0.73,14.62
14-11-2020,20.69,47.9,4.95,14.79,0.55,13.29
15-11-2020,19.55,38.36,6.49,14.61,0.53,14.1
16-11-2020,10.77,21.03,3.82,12.33,0.45,11.73
17-11-2020,13.85,30.24,3.76,13.42,0.46,10.77
18-11-2020,15.28,33.92,3.55,14.2,0.43,9.98
19-11-2020,23.66,50.82,3.25,16.03,0.51,10.51
20-11-2020,24.92,53.59,3.42,19.01,0.52,9.82
21-11-2020,29.37,63.04,4.88,25.5,0.91,9.9
22-11-2020,43.09,87.89,6.48,33.01,1.34,13.94
23-11-2020,35.17,70.38,4.87,21.1,0.87,14.79
24-11-2020,41.64,74.01,5.4,21.26,0.88,15.32
25-11-2020,42.72,73.62,4.98,22.74,0.83,16.07
26-11-2020,23,36.73,5.17,32.06,1.24,14.31
27-11-2020,18.76,40.47,3.87,28.71,1.14,13.26
28-11-2020,20.43,40.9,3.4,19.5,0.55,12.97
29-11-2020,18.38,33.98,3.92,16.83,0.47,12.36
30-11-2020,20.34,40.38,3.76,16.9,0.54,12.52
01-12-2020,29.2,58.14,3.78,21.39,0.72,12.3
02-12-2020,31.79,61.97,4.24,22.53,0.75,14.01
03-12-2020,29.94,51.55,3.79,23.16,0.75,14.6
04-12-2020,14.08,44.05,3.25,21.03,0.79,12.63
05-12-2020,19.75,45.92,2.78,17.6,0.69,13.28
06-12-2020,19.75,45.9,3.59,16.84,0.58,14.65
07-12-2020,13.55,33.73,3.03,13.8,0.5,15.42
08-12-2020,11.23,21.12,1.86,12.15,0.39,14.52
09-12-2020,19.37,31.63,1.82,15.98,0.53,10.99
10-12-2020,24.91,42.32,2.73,15.34,0.34,10.47
11-12-2020,38.59,66.17,3.21,20.4,0.54,12.81
12-12-2020,48.83,79.21,3.61,20.19,0.61,16.36
13-12-2020,49.76,74.97,3.47,17.26,0.47,17.53
14-12-2020,54.81,89.35,3.46,22.64,0.81,16.57
15-12-2020,44.48,75.45,3.17,20.9,0.63,16.23
16-12-2020,44.19,72.7,3.46,18.41,0.51,16.68
17-12-2020,38.09,63.81,3.15,17.74,0.62,16.76
18-12-2020,44.33,72.71,3.51,18.76,0.46,16.72
19-12-2020,56.05,81.66,3.32,20.45,0.52,19.32
20-12-2020,68.16,98.14,3.15,20.64,1.05,20.58
21-12-2020,59.96,89.84,2.87,18.04,0.57,19.31
22-12-2020,58.32,89.92,3.54,19.47,0.61,20.01
23-12-2020,54.35,84.14,3.42,19.52,0.52,19.41
24-12-2020,55.25,86.8,3.69,20.28,0.56,17.98
25-12-2020,57.58,93.91,3.83,23.48,0.71,16.95
26-12-2020,57.14,91.19,3.25,25.81,0.77,17.69
27-12-2020,66.83,107.95,3.58,27.87,1,19.48
28-12-2020,76.72,119.62,3.68,24.34,0.76,20.83
